[INFO] [1777356219.041134432] [netlab_swarm_bridge]: NETLAB swarm bridge started
[INFO] [1777356451.826089828] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356454.025787076] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356456.225952971] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356458.425851702] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356460.426090314] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356462.625792092] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356464.625808512] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356466.625873781] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356468.825792982] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356470.825997423] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356473.025983755] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356475.226350101] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356477.425860906] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356479.626152761] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356481.825806728] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356483.825858486] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356486.026046690] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356488.226032160] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356490.425976530] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356492.625916640] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
[INFO] [1777356494.826017252] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.86Mbps
[INFO] [1777356496.826006069] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356498.826044028] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356501.025856996] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356503.026045395] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.84Mbps
[INFO] [1777356505.225728101] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.85Mbps
[INFO] [1777356507.226031203] [netlab_swarm_bridge]: Drone 1 -> Drone 2 | status=strong distance=5.50m snr=53.86dB capacity=357.83Mbps
